Team,Icon
Wake Forest,"Wake Forest<a href=""http://https://godeacs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/wakeforest-300x213.png"" alt="""" width=""300"" height=""213"" class=""alignnone size-medium wp-image-2341"" /></a>"
LSU,"LSU<a href=""http://https://lsusports.net/sports/fb/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/lsu2-1024x337-1-300x99.png"" alt=""louisiana state logo"" width=""300"" height=""99"" class=""alignnone size-medium wp-image-182"" /></a>"
Arkansas,"Arkansas<a href=""http://https://arkansasrazorbacks.com/sport/m-footbl/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/arkansas2-1024x451-1-300x132.png"" alt=""Arkansas logo"" width=""300"" height=""132"" class=""alignnone size-medium wp-image-166"" /></a>"
Michigan St.,"Michigan State<a href=""http://https://msuspartans.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/msu1-889x1024-1-260x300.png"" alt=""Michigan State logo"" width=""260"" height=""300"" class=""alignnone size-medium wp-image-122"" /></a>"
Kentucky,"Kentucky<a href=""http://https://ukathletics.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/kentucky2-1024x838-1-300x246.png"" alt=""Kentucky Logo"" width=""300"" height=""246"" class=""alignnone size-medium wp-image-180"" /></a>"
Florida,"Florida<a href=""http://https://floridagators.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/florida1-1024x653-1-300x191.png"" alt=""Florida logo"" width=""300"" height=""191"" class=""alignnone size-medium wp-image-176"" /></a>"
Auburn,"Auburn<a href=""http://https://auburntigers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/auburn2-1024x905-1-300x265.png"" alt=""Auburn logo"" width=""300"" height=""265"" class=""alignnone size-medium wp-image-168"" /></a>"
Mississippi St.,"Mississippi State<a href=""http://https://hailstate.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/missstate1-1024x626-1-300x183.png"" alt=""Mississippi State logo"" width=""300"" height=""183"" class=""alignnone size-medium wp-image-185"" /></a>"
UCLA,"UCLA<a href=""http://https://uclabruins.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ucla2-1024x503-1-300x147.png"" alt=""UCLA Logo"" width=""300"" height=""147"" class=""alignnone size-medium wp-image-199"" /></a>"
Kansas St.,"Kansas State<a href=""http://https://www.kstatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/kstate1-300x223.png"" alt="""" width=""300"" height=""223"" class=""alignnone size-medium wp-image-2217"" /></a>"
Boise St.,"Boise State<a href=""http://https://broncosports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/boisestate1-1024x844-1-300x247.png"" alt=""Boise State logo"" width=""300"" height=""247"" class=""alignnone size-medium wp-image-92"" /></a>"
Iowa St.,"Iowa State<a href=""http://https://cyclones.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/iowastate3-300x207.png"" alt="""" width=""300"" height=""207"" class=""alignnone size-medium wp-image-2212"" /></a>"
Houston,"Houston<a href=""http://https://uhcougars.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/houston1-1024x975-1-300x286.png"" alt=""Houston logo"" width=""300"" height=""286"" class=""alignnone size-medium wp-image-107"" /></a>"
Purdue,"Purdue<a href=""http://https://purduesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/purdue4-1024x559-1-300x164.png"" alt=""Purdue logo"" width=""300"" height=""164"" class=""alignnone size-medium wp-image-136"" /></a>"
Minnesota,"Minnesota<a href=""http://https://gophersports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/minnesota2-1024x613-1-300x180.png"" alt=""Minnesota logo"" width=""300"" height=""180"" class=""alignnone size-medium wp-image-121"" /></a>"
UCF,"UCF<a href=""http://https://ucfknights.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/ucf-300x241.png"" alt="""" width=""300"" height=""241"" class=""alignnone size-medium wp-image-2205"" /></a>"
Florida St.,"Florida State<a href=""http://https://seminoles.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fsu3-1004x1024-1-294x300.png"" alt=""Florida State logo"" width=""294"" height=""300"" class=""alignnone size-medium wp-image-105"" /></a>"
Louisville,"Louisville<a href=""http://https://gocards.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/louisville2-272x300.png"" alt="""" width=""272"" height=""300"" class=""alignnone size-medium wp-image-2331"" /></a>"
Oregon St.,"Oregon State<a href=""http://https://osubeavers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/oregonstate2-1024x567-1-300x166.png"" alt=""Oregon State logo"" width=""300"" height=""166"" class=""alignnone size-medium wp-image-189"" /></a>"
Fresno St.,"Fresno State<a href=""http://https://gobulldogs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fresnost1-1024x733-1-300x215.png"" alt=""Fresno State logo"" width=""300"" height=""215"" class=""alignnone size-medium wp-image-104"" /></a>"
Washington,"Washington<a href=""http://https://gohuskies.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/washington3-1024x709-1-300x208.png"" alt=""Washington logo"" width=""300"" height=""208"" class=""alignnone size-medium wp-image-204"" /></a>"
North Carolina,"North Carolina<a href=""http://https://goheels.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/unc3-1024x807-1-300x236.png"" alt=""north carolina"" width=""300"" height=""236"" class=""alignnone size-medium wp-image-152"" /></a>"
South Carolina,"South Carolina<a href=""http://https://gamecocksonline.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/southcarolina2-933x1024-1-273x300.png"" alt=""South Carolina logo"" width=""273"" height=""300"" class=""alignnone size-medium wp-image-192"" /></a>"
App State,"Appalachian State<a href=""http://appstatesports.com/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/appstate2-905x1024-1-265x300.png"" alt=""Appalachian State logo"" width=""265"" height=""300"" class=""alignnone size-medium wp-image-165"" /></a>"
Nebraska,"Nebraska<a href=""http://https://huskers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/nebraska2-1024x1024-1-300x300.png"" alt=""Nebraska logo"" width=""300"" height=""300"" class=""alignnone size-medium wp-image-123"" /></a>"
TCU,"TCU<a href=""http://https://gofrogs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tcu4-1024x500-1-300x146.png"" alt=""Texas Christian logo"" width=""300"" height=""146"" class=""alignnone size-medium wp-image-143"" /></a>"
Boston College,"Boston College<a href=""http://https://bceagles.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/bc3-300x273.png"" alt="""" width=""300"" height=""273"" class=""alignnone size-medium wp-image-2324"" /></a>"
Air Force,"Air Force<a href=""http://https://goairforcefalcons.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/airforce3-950x1024-1-278x300.png"" alt=""Air Force logo"" width=""278"" height=""300"" class=""alignnone size-medium wp-image-84"" /></a>"
