Team,Icon
North Texas,"North Texas<a href=""http://https://meangreensports.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/nt2-269x300.png"" alt="""" width=""269"" height=""300"" class=""alignnone size-medium wp-image-2112"" /></a>"
Vanderbilt,"Vanderbilt<a href=""http://https://vucommodores.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/vanderbilt2-1024x998-1-300x292.png"" alt=""Vanderbilt logo"" width=""300"" height=""292"" class=""alignnone size-medium wp-image-203"" /></a>"
Buffalo,"Buffalo<a href=""http://https://ubbulls.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/buffalo1-1024x527-1-300x154.png"" alt=""Buffalo logo"" width=""300"" height=""154"" class=""alignnone size-medium wp-image-93"" /></a>"
Eastern Mich.,"Eastern Michigan<a href=""http://https://emueagles.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/easternmichigan2-901x1024-1-264x300.png"" alt=""Eastern Michigan logo"" width=""264"" height=""300"" class=""alignnone size-medium wp-image-100"" /></a>"
Old Dominion,"Old Dominion<a href=""http://https://odusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/od-1024x866-1-300x254.png"" alt=""Old Dominion logo"" width=""300"" height=""254"" class=""alignnone size-medium wp-image-129"" /></a>"
Southern Miss.,"Southern Miss<a href=""http://https://southernmiss.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/southernmiss2-1024x553-1-300x162.png"" alt=""Southern Miss logo"" width=""300"" height=""162"" class=""alignnone size-medium wp-image-141"" /></a>"
Nevada,"Nevada<a href=""http://https://nevadawolfpack.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/nevada2-1024x655-1-300x192.png"" alt=""Nevada logo"" width=""300"" height=""192"" class=""alignnone size-medium wp-image-124"" /></a>"
South Alabama,"South Alabama<a href=""http://https://usajaguars.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/southalabama2-1024x812-1-300x238.png"" alt=""South Alabama logo"" width=""300"" height=""238"" class=""alignnone size-medium wp-image-191"" /></a>"
UTEP,"UTEP<a href=""http://https://utepminers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/utep-298x300.png"" alt="""" width=""298"" height=""300"" class=""alignnone size-medium wp-image-2120"" /></a>"
Middle Tenn.,"Middle Tennessee<a href=""http://https://goblueraiders.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/mt2-300x195.png"" alt="""" width=""300"" height=""195"" class=""alignnone size-medium wp-image-2109"" /></a>"
Duke,"Duke<a href=""http://https://goduke.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/duke2-1024x915-1-300x268.png"" alt=""Duke logo"" width=""300"" height=""268"" class=""alignnone size-medium wp-image-99"" /></a>"
Ohio,"Ohio <a href=""http://https://ohiobobcats.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ohio2-1024x880-1-300x258.png"" alt=""Ohio logo"" width=""300"" height=""258"" class=""alignnone size-medium wp-image-130"" /></a>"
Louisiana Tech,"Louisiana Tech<a href=""http://https://latechsports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/latech1-1024x594-1-300x174.png"" alt=""Louisiana Tech logo"" width=""300"" height=""174"" class=""alignnone size-medium wp-image-113"" /></a>"
Ga. Southern,"Georgia Southern<a href=""http://https://gseagles.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/georgiasouthern2-1024x606-1-300x178.png"" alt=""Georgia Southern logo"" width=""300"" height=""178"" class=""alignnone size-medium wp-image-178"" /></a>"
Ball St.,"Ball State<a href=""http://https://ballstatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ballst3-727x1024-1-213x300.png"" alt=""Ball State logo"" width=""213"" height=""300"" class=""alignnone size-medium wp-image-89"" /></a>"
Arkansas St.,"Arkansas State<a href=""http://https://astateredwolves.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/arkstate2-954x1024-1-279x300.png"" alt=""Arkansas State"" width=""279"" height=""300"" class=""alignnone size-medium wp-image-167"" /></a>"
UNLV,"UNLV<a href=""http://https://unlvrebels.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/unlv4-1024x590-1-300x173.png"" alt=""Nevada Las Vegas logo"" width=""300"" height=""173"" class=""alignnone size-medium wp-image-153"" /></a>"
Charlotte,"Charlotte<a href=""http://https://charlotte49ers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/charlotte1-953x1024-1-279x300.png"" alt=""Charlotte logo"" width=""279"" height=""300"" class=""alignnone size-medium wp-image-95"" /></a>"
Bowling Green,"Bowling Green<a href=""https://bgsufalcons.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/bg2-1024x958-1-300x281.png"" alt=""Bowling Green logo"" width=""300"" height=""281"" class=""alignnone size-medium wp-image-91"" /></a>"
Hawaii,"Hawaii<a href=""http://https://hawaiiathletics.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/hawaii1-1024x772-1-300x226.png"" alt=""Hawaii Rainbow Warriors logo"" width=""300"" height=""226"" class=""alignnone size-medium wp-image-106"" /></a>"
Rice,"Rice<a href=""http://https://riceowls.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/rice2-853x1024-1-250x300.png"" alt=""Rice logo"" width=""250"" height=""300"" class=""alignnone size-medium wp-image-137"" /></a>"
Texas St.,"Texas State<a href=""http://https://txstatebobcats.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/texasstate2-878x1024-1-257x300.png"" alt=""Texas State logo"" width=""257"" height=""300"" class=""alignnone size-medium wp-image-197"" /></a>"
ULM,"ULM<a href=""http://https://ulmwarhawks.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ulmonroe2-1024x721-1-300x211.png"" alt=""Louisiana Monroe logo"" width=""300"" height=""211"" class=""alignnone size-medium wp-image-200"" /></a>"
Temple,"Temple<a href=""http://https://owlsports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/temple2-905x1024-1-265x300.png"" alt=""Temple logo"" width=""265"" height=""300"" class=""alignnone size-medium wp-image-144"" /></a>"
New Mexico,"New Mexico<a href=""http://https://golobos.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/newmexico3-833x1024-1-244x300.png"" alt=""New Mexico logo"" width=""244"" height=""300"" class=""alignnone size-medium wp-image-125"" /></a>"
Akron,"Akron<a href=""http://https://gozips.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/akron2-1024x532-1-300x156.png"" alt=""Akron logo"" width=""300"" height=""156"" class=""alignnone size-medium wp-image-85"" /></a>"
FIU,"Florida International<a href=""http://https://fiusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fiu2-792x1024-1-232x300.png"" alt=""Florida International logo"" width=""232"" height=""300"" class=""alignnone size-medium wp-image-103"" /></a>"
UConn,"Connecticut<a href=""http://https://uconnhuskies.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/uconn3-821x1024-1-241x300.png"" alt=""Connecticut logo"" width=""241"" height=""300"" class=""alignnone size-medium wp-image-150"" /></a>"
New Mexico St.,"New Mexico State<a href=""http://https://nmstatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/newmexicostate2-1024x755-1-300x221.png"" alt=""New Mexico State logo"" width=""300"" height=""221"" class=""alignnone size-medium wp-image-126"" /></a>"
Massachusetts,"UMass<a href=""http://https://umassathletics.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/umass2-1024x837-1-300x245.png"" alt=""Massachusetts logo"" width=""300"" height=""245"" class=""alignnone size-medium wp-image-151"" /></a>"
